job_id,job_title,total_skills,matched_skills,match_percentage
JOB-400,"Data Analyst",6,3,50.00
JOB-737,"Data Analyst",5,2,40.00
JOB-588,"Data Analyst",5,2,40.00
JOB-21,"Data Analyst",6,2,33.33
JOB-58,"Data Analyst",6,2,33.33
JOB-96,"Data Analyst",3,1,33.33
JOB-352,"Data Analyst",3,1,33.33
JOB-117,"Data Analyst",6,2,33.33
JOB-728,"Data Analyst",3,1,33.33
JOB-612,"Data Analyst",3,1,33.33
JOB-378,"Data Analyst",4,1,25.00
JOB-268,"Data Analyst",4,1,25.00
JOB-279,"Data Analyst",4,1,25.00
JOB-190,"Data Analyst",4,1,25.00
JOB-120,"Data Analyst",5,1,20.00
JOB-257,"Data Analyst",5,1,20.00
JOB-302,"Data Analyst",5,1,20.00
JOB-180,"Data Analyst",5,1,20.00
JOB-209,"Data Analyst",5,1,20.00
JOB-709,"Data Analyst",5,1,20.00
JOB-228,"Data Analyst",6,1,16.67
JOB-100,"Data Analyst",6,1,16.67
JOB-102,"Data Analyst",6,1,16.67
JOB-614,"Data Analyst",6,1,16.67
JOB-589,"Data Analyst",6,1,16.67
JOB-382,"Data Analyst",6,1,16.67
JOB-410,"Data Analyst",6,1,16.67
JOB-463,"Data Analyst",6,1,16.67
JOB-162,"Data Analyst",6,1,16.67
JOB-492,"Data Analyst",6,1,16.67
JOB-521,"Data Analyst",6,1,16.67
JOB-548,"Data Analyst",6,1,16.67
JOB-37,"Data Analyst",12,0,0.00
JOB-115,"Data Analyst",3,0,0.00
JOB-127,"Data Analyst",4,0,0.00
JOB-152,"Data Analyst",5,0,0.00
JOB-153,"Data Analyst",5,0,0.00
JOB-160,"Data Analyst",5,0,0.00
JOB-216,"Data Analyst",6,0,0.00
JOB-222,"Data Analyst",6,0,0.00
JOB-225,"Data Analyst",3,0,0.00
JOB-238,"Data Analyst",5,0,0.00
JOB-241,"Data Analyst",3,0,0.00
JOB-386,"Data Analyst",6,0,0.00
JOB-468,"Data Analyst",5,0,0.00
JOB-477,"Data Analyst",5,0,0.00
JOB-487,"Data Analyst",4,0,0.00
JOB-396,"Data Analyst",4,0,0.00
JOB-513,"Data Analyst",5,0,0.00
JOB-518,"Data Analyst",5,0,0.00
JOB-398,"Data Analyst",5,0,0.00
JOB-522,"Data Analyst",5,0,0.00
JOB-545,"Data Analyst",6,0,0.00
JOB-351,"Data Analyst",6,0,0.00
JOB-385,"Data Analyst",3,0,0.00
JOB-576,"Data Analyst",3,0,0.00
JOB-333,"Data Analyst",3,0,0.00
JOB-456,"Data Analyst",4,0,0.00
JOB-595,"Data Analyst",3,0,0.00
JOB-604,"Data Analyst",5,0,0.00
JOB-606,"Data Analyst",4,0,0.00
JOB-331,"Data Analyst",3,0,0.00
JOB-566,"Data Analyst",6,0,0.00
JOB-631,"Data Analyst",3,0,0.00
JOB-648,"Data Analyst",3,0,0.00
JOB-665,"Data Analyst",3,0,0.00
JOB-314,"Data Analyst",6,0,0.00
JOB-722,"Data Analyst",3,0,0.00
JOB-252,"Data Analyst",6,0,0.00
JOB-251,"Data Analyst",3,0,0.00
JOB-746,"Data Analyst",3,0,0.00
