skill,demand_count,average_salary
PyTorch,165,123105.2545454545
Excel,159,121417.7389937107
Spark,156,127953.1891025641
Azure,155,124712.6838709677
AWS,154,125377.7662337662
Redshift,152,123711.6480263158
TensorFlow,150,128821.1800000000
Snowflake,150,124841.9466666667
"Data Engineering",149,127687.4093959732
dbt,149,126630.4429530201
Python,148,125447.8581081081
Airflow,147,126422.6700680272
Pandas,144,129147.9895833333
BigQuery,141,121164.1170212766
ETL,141,128783.9539007092
NumPy,141,123108.6950354610
"Deep Learning",138,124979.3840579710
"Machine Learning",137,126496.6715328467
Kafka,135,121834.4888888889
GCP,135,127329.5851851852
SQL,133,129851.6240601504
"Data Visualization",133,126187.0902255639
Statistics,129,125296.3759689922
"Power BI",128,125107.3671875000
Tableau,122,119582.3688524590
NLP,121,122918.0661157025
